[02:27:35] [main/INFO] (FabricLoader/GameProvider) Loading Minecraft 1.20.6 with Fabric Loader 0.15.11
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[02:27:35] [main/DEBUG] (FabricLoader/Mappings) Loading mappings took 159 ms
[02:27:35] [main/DEBUG] (FabricLoader/GamePatch) Patched 3 classs
[02:27:36] [main/DEBUG] (FabricLoader/Discovery) Mod discovery time: 63.9 ms
[02:27:36] [main/DEBUG] (FabricLoader/Resolution) Mod resolution time: 110.6 ms
[02:27:36] [main/INFO] (FabricLoader) Loading 90 mods:
	- c2me 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-base 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-client-uncapvd 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-fixes-chunkio-threading-issues 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-fixes-general-threading-issues 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-fixes-worldgen-threading-issues 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-fixes-worldgen-vanilla-bugs 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-notickvd 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-allocs 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-chunk-access 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-chunkio 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-math 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-scheduling 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-worldgen-general 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-opts-worldgen-vanilla 0.2.0+alpha.11.95+1.20.6
	   |-- c2me-rewrites-chunk-serializer 0.2.0+alpha.11.95+1.20.6
